鳥|鳥の巣; 野鳥|`tori` no `su`; `ya``chou`|bird's nest; wild bird|tori:鳥の巣;chou:野鳥
巣|鳥の巣; 卵巣; 巣窟; 古巣|`tori` no `su`; `ran``sou`; `sou``kutsu`; `furu``su`|bird's nest; ovary; den, nest, haunt; "my old haunts", back at the old place|su:鳥の巣,古巣;sou:卵巣,巣窟
駐|駐車場; 駐まる; 常駐; 駐留|`chuu``sha``jou`; `to`maru; `jou``chuu`; `chuu``ryuu`|parking lot; stop; suru: staying permanently, residing permanently; stationing (e.g. troops), garrison|chuu:駐車場,常駐,駐留;to:駐まる
車|駐車場; 乳母車; 列車; 発車; 歯車; 車輪; 三輪車; 観覧車; 車庫; 街宣車; 空車|`chuu``sha``jou`; `u``ba``guruma`; `res``sha`; `has``sha`; `ha``guruma`; `sha``rin`; `san``rin``sha`; `kan``ran``sha`; `sha``ko`; `gai``sen``sha`; `kuu``sha`|parking lot; baby carriage; train; to depart (e.g. a vehicle); gear, cog; car wheel; tricycle; ferris wheel; garage; those annoying political propoganda cars; empty taxi (cab)|sha:駐車場,列車,発車,車輪,三輪車,観覧車,車庫,街宣車,空車;guruma:乳母車,歯車
場|駐車場; 場所; 劇場; 現場; 工場; 職場; 登場; 市場; 市場; 寡占市場; 発展場; 入場; 相場; 穴場; 入場券; 満場一致; 臨場感; 牧場|`chuu``sha``jou`; `ba``sho`; `geki``jou`; `gen``ba`; `kou``jou`; `shoku``ba`; `tou``jou`; `shi``jou`; `ichi``ba`; `ka``sen``shi``jou`; `hat``ten``ba`; `nyuu``jou`; `sou``ba`; `ana``ba`; `nyuu``jou``ken`; `man``jou``ic``chi`; `rin``jou``kan`; `boku``jou`|parking lot; place; theatre; actual spot; factory, plant, workshop; workplace; appearance/entry on stage; market (financial, stock, domestic, etc.); town/street market; oligopolistic market; slang: gay joint/bar; to enter, to be admitted; market price, speculation (e.g. stocks); good place not many people know about, great little-known spot; admission ticket; unanimous agreement; the feeling of actually being there, realism; (livestock) farm, ranch|jou:駐車場,劇場,工場,登場,市場,寡占市場,入場,入場券,満場一致,臨場感,牧場;ba:場所,現場,職場,市場,発展場,相場,穴場
所|所; 場所; 近所; 事務所; 所得; 所帯; 所持; 便所; 所為; 随所; 洗面所; 所蔵; 余所; 他所; 役所; 住所|tokoro; `ba``sho`; `kin``jo`; `ji``mu``sho`; `sho``toku`; `sho``tai`; `sho``ji`; `ben``jo`; `se``i`; `zui``sho`; `sen``men``jo`; `sho``zou`; `yo``so`; `yo``so`; `yaku``sho`; `juu``sho`|place; place; neighborhood; office; income, earnings; household, home, more informal than 世帯; possession, owning, having on one's person; toilet; fault, blame (usually written kana alone); all over the place, here and there, at every turn; washroom, bathroom; suru: to possess; somewhere else, another place, away from here; somewhere else, another place, away from here; government office, public office; address|tokoro:所;sho:場所,近所,事務所,所得,所帯,所持,便所,随所,洗面所,所蔵,役所,住所;se:所為;so:余所,他所
近|近所; 近隣; 近隣諸国; 最近; 近視; 近日中に; 接近; 間近; 側近|`kin``jo`; `kin``rin`; `kin``rin``sho``koku`; `sai``kin`; `kin``shi`; `kin``jitsu``chuu`ni; `sek``kin`; `ma``dika`; `sok``kin`|neighborhood; neighborhood, vicinity; neighoring countries; most recent; myopia, short-sighted; soon, one of these days; suru: to draw closer, to approach; near, close, just around the corner; close aide (associate)|kin:近所,近隣,近隣諸国,最近,近視,近日中に,接近,側近;dika:間近
食|食費; 朝食; 蚕食; 食洗機; 洋食; 食料; 飲食; 餌食; 食欲; 飽食; 給食; 陪食|`shoku``hi`; `chou``shoku`; `san``shoku`; `shoku``sen``ki`; `you``shoku`; `shoku``ryou`; `in``shoku`; ejiki; `shoku``yoku`; `hou``shoku`; `kyuu``shoku`; `bai``shoku`|food expenses; breakfast; encroachment, invasion; dishwashing machine; western food; food; food and drink; prey, victim; appetite; eating one's fill; providing a meal, lunch service (e.g. at work); eating in the company of one's superiors|shoku:食費,朝食,蚕食,食洗機,洋食,食料,飲食,食欲,飽食,給食,陪食;ejiki:餌食
費|食費; 費やす; 費用; 公費; 工費; 宿泊費; 消費|`shoku``hi`; `tsui`yasu; `hi``you`; `kou``hi`; `kou``hi`; `shuku``haku``hi`; `shou``hi`|food expenses; to spend, or waste/squander; cost(s)/expense(s); public funds; construction costs; hotel charge, lodging expense; consumption, expenditure|hi:食費,費用,公費,工費,宿泊費,消費;tsui:費やす
用|費用; 用意; 採用; 雇用; 雇用主; 用箋; 用紙; 登用; 実用; 実用的; 副作用; 用いる; 用途; 濫用; 雑用; 専用|`hi``you`; `you``i`; `sai``you`; `ko``you`; `ko``you``nushi`; `you``sen`; `you``shi`; `tou``you`; `jitsu``you`; `jitsu``you``teki`; `fuku``sa``you`; `mochi`iru; `you``to`; `ran``you`; `zatsu``you`; `sen``you`|cost(s)/expense(s); preparations, arrangements; suru: to use, adopt, employ (e.g. someone's idea), recruit; employment; employer; stationary, writing pad; sheets of paper, blank form; suru: to promote, to appoint; practiacl use; practical; side effect, adverse reaction; to utilize, to make use of, to use; use, purpose; abuse, misuse, using in excess; random chores, odd jobs; exclusive use|you:費用,用意,採用,雇用,雇用主,用箋,用紙,登用,実用,実用的,副作用,用途,濫用,雑用,専用;mochi:用いる
頒|頒布|`han``pu`|distribute|han:頒布
布|頒布; 布; 布団; 座布団; 分布; 財布; 毛布; 布巾; 布告; 布施; 昆布; 布告; 宣戦布告; 麻布; 布教; 布く|`han``pu`; nuno; `fu``ton`; `za``bu``ton`; `bun``pu`; `sai``fu`; `mou``fu`; `fu``kin`; `fu``koku`; `fu``se`; `kon``bu`; `fu``koku`; `sen``sen``fu``koku`; `ma``fu`; `fu``kyou`; `shi`ku|distribute; cloth; futon; cushion chair; distribution; wallet; blanket; tea towl, dishcloth; edict, ordinance, proclamation; alms, offerings, charity; konbu seaweeed; edict, ordinance, proclomation; proclomation of war; hemp cloth; propogation (e.g. a religion), proselytizing, missionary work; to deploy (troops), to impose widely (e.g. martial law)|fu:頒布,布団,座布団,分布,財布,毛布,布巾,布告,布施,昆布,宣戦布告,麻布,布教;nuno:布;shi:布く
団|布団; 座布団; 団体; 団地; 団結; 団扇; 団塊世代|`fu``ton`; `za``bu``ton`; `dan``tai`; `dan``chi`; `dan``ketsu`; uchiwa; `dan``kai``se``dai`|futon; cushion chair; organization; apartment complex; suru: to unite, combine; traditional japanese handheld fan (looks like a racket); baby boomer generation|ton:布団,座布団;dan:団体,団地,団結,団塊世代;uchiwa:団扇
座|座布団; 座席; 座る; 座する|`za``bu``ton`; `za``seki`; `suwa`ru; `za`suru|cushion chair; seat; sit; to squat, to sit idly by|za:座布団,座席,座する;suwa:座る
分|分布; 分際; 不可分; 分散; 分配; 分解; 処分; 分類; 分野; 余分; 分裂; 身分; 随分; 幾分; 充分; 区分; 分割; 分析; 痛み分け|`bun``pu`; `bun``zai`; `fu``ka``bun`; `bun``san`; `bun``pai`; `bun``kai`; `sho``bun`; `bun``rui`; `bun``ya`; `to``bun`; `bun``retsu`; `mi``bun`; `zui``bun`; `iku``bun`; `juu``bun`; `ku``bun`; `bun``katsu`; `bun``seki`; `ita`mi`wa`ke|distribution; one's social standing / position (usually scornful); indivisible, inseparable; dispersion (suru verb); division, splitting, sharing; suru: disassembling, analyzing; deal with, dispose of, punish; classification; field (e.g. of study); excess, surplus; to split, to break up; social position; quite, fairly, terribly; somewhat, to some extant; enough, plenty (often just 十分); suru: to partition, divide, segment (land into different areas); partition, division, separation; analysis; ending with both sides suffering damage|bun:分布,分際,不可分,分散,分配,分解,処分,分類,分野,余分,分裂,身分,随分,幾分,充分,区分,分割,分析;wa:痛み分け
響|響く; 音響; 影響; 反響|`hibi`ku; `on``kyou`; `ei``kyou`; `han``kyou`|resound, resonate, affect; sound, echo, acoustics; influence; echo, reaction, resound|hibi:響く;kyou:音響,影響,反響
音|音響; 音楽; 音; 異口同音に; 軽音楽; 音信; 雑音; 福音書|`on``kyou`; `on``gaku`; oto; `i``ku``dou``on` ni; `kei``on``gaku`; `on``shin`; `zatsu``on`; `fuku``in``sho`|sound, echo, acoustics; music; sound; with one voice, with one accord; light music, popular music; correspondence; incoherent sounds; the Gospel|on:音響,音楽,異口同音に,軽音楽,音信,雑音;oto:音;in:福音書
影|影響; 影; 撮影|`ei``kyou`; kage; `satsu``ei`|influence; shadow; filming/photographing|ei:影響,撮影;kage:影
反|反響; 反省; 反復; 反らす; 反る; 反対; 反撃; 違反; 反応; 反逆; 反面; 反射; 反射的|`han``kyou`; `han``sei`; `han``puku`; `so`rasu; `so`ru; `han``tai`; `han``geki`; `i``han`; `han``nou`; `han``gyaku`; `han``men`; `han``sha`; `han``sha``teki`|echo, reaction, resound; reflect on [something you did wrong]; repitition; to bend, to warp; to be bent; opposite, oppose; counterattack; violation, breach; reaction, response; rebellion, treason; an opposing point, on the other hand; reflex, reflection; reflexively|han:反響,反省,反復,反対,反撃,違反,反応,反逆,反面,反射,反射的;so:反らす,反る
非|非人道的な; 非常|`hi``jin``dou``teki`na; `hi``jou`|inhumane; extraordinary|hi:非人道的な,非常
人|非人道的な; 友人; 老人; 玄人; 殺人; 人; 人権; 人工; 主人; 人財; 隣人; 人口; 素人; 客人; 商人; 未亡人; 知人; 個人; 野蛮人; 人形; 人類; 犯人; 人質; 人通り; 人為; 詩人; 麗人; 人格; 証人; 他人; 役人; 住人; 差出人; 媒酌人; 人材; 成人; 芸能人; 芸人; 日系人; 類人猿; 猿人|`hi``jin``dou``teki`na; `yuu``jin`; `rou``jin`; `kurou``to`; `satsu``jin`; hito; `jin``ken`; `jin``kou`; `shu``jin`; `jin``zai`; `rin``jin`; `jin``kou`; `shirou``to`; `kyaku``jin`; `shou``nin`; `mi``bou``jin`; `chi``jin`; `ko``jin`; `ya``ban``jin`; `nin``gyou`; `jin``rui`; `han``nin`; `hito``jichi`; `hito``doo`ri; `jin``i`; `shi``jin`; `rei``jin`; `jin``kaku`; `shou``nin`; `ta``nin`; `yaku``nin`; `juu``nin`; `sashi``dashi``nin`; `bai``shaku``nin`; `jin``zai`; `sei``jin`; `gei``nou``jin`; `gei``nin`; `nik``kei``jin`; `rui``jin``en`; `en``jin`|inhumane; dear friend; old person; expert (反: shirouto); murderer; person; human rights; artificial, man-made (op. of 天然); head, proprietor, landlord, one's husband; capable person, talented person, personnel; neighbor; population; amateur; guest; merchant; widow; someone you know, an aquaintance; an individual; barbarians, savages; doll, puppet; humanity; criminal, offender; hostage; pedestrain traffic; human work, artificial; poet; beautiful woman; persona, personality, character; witness; another person; government official; residents; the one who sent (e.g. a letter); matchmaker, go-between; capable person, talented person; adult, suru: to become an adult; entertainer, performer, celebrity, personality; (TV) comedian; persno of japanese descent; anthropomorphic (looks like a human); ape man|jin:非人道的な,友人,老人,殺人,人権,人工,主人,人財,隣人,人口,客人,未亡人,知人,個人,野蛮人,人類,人為,詩人,麗人,人格,人材,成人,芸能人,日系人,類人猿,猿人;to:玄人,素人;hito:人,人質,人通り;nin:商人,人形,犯人,証人,他人,役人,住人,差出人,媒酌人,芸人
道|非人道的な; 片道; 道徳; 歩道; 道具; 武道; 街道; 出世街道; 北海道; 道路; 鉄道; 道筋; 弓道; 極道|`hi``jin``dou``teki`na; `kata``michi`; `dou``toku`; `ho``dou`; `dou``gu`; `bu``dou`; `kai``dou`; `shus``se` `kai``dou`; `hok``kai``dou`; `dou``ro`; `tetsu``dou`; `michi``suji`; `kyuu``dou`; `goku``dou`|inhumane; one-way (trip); morals; walkway; tool; martial arts; highway (esp. ones from Edo period), main road; highway to success; Hokkaidou; road, highway; railway; path, route, itinerary; archery; the "underground" (e.g. yakuza)|dou:非人道的な,道徳,歩道,道具,武道,街道,出世街道,北海道,道路,鉄道,弓道,極道;michi:片道,道筋
的|非人道的な; 建設的; 模範的; 魅力的; 客観的; 主観的; 典型的; 断片的; 長期的; 定期的; 画期的; 実用的; 刹那的; 視覚的; 目的; 的確; 根本的; 積極的; 消極的; 致命的; 反射的|`hi``jin``dou``teki`na; `ken``setsu``teki`; `mo``han``teki`; `mi``ryoku``teki`; `kyak``kan``teki`; `shu``kan``teki`; `ten``kei``teki`; `dan``pen``teki`; `chou``ki``teki`; `tei``ki``teki`; `kak``ki``teki`; `jitsu``you``teki`; `setsu``na``teki`; `shi``kaku``teki`; `moku``teki`; `teki``kaku`; `kon``pon``teki`; `sek``kyoku``teki`; `shou``kyoku``teki`; `chi``mei``teki`; `han``sha``teki`|inhumane; constructive; exemplary; charming, attractive; objective; subjective; typical, stereotypical, representative; fragmentary; long-term; periodic, に: periodically; revolutionary, ground-breaking; practical; momentary, transient; visual; objective; apt, appropriate, right, precise, accurate; fundamental; assertive, proactive; passive, unmotivated, half-hearted; fatal; reflexively|teki:非人道的な,建設的,模範的,魅力的,客観的,主観的,典型的,断片的,長期的,定期的,画期的,実用的,刹那的,視覚的,目的,的確,根本的,積極的,消極的,致命的,反射的
静|静脈; 鎮静; 冷静; 静けさ|`jou``myaku`; `chin``sei`; `rei``sei`; `shizu`kesa|vein; tranquility; composed, calm; quiteness, stillness|jou:静脈;sei:鎮静,冷静;shizu:静けさ
脈|静脈; 脈絡; 鉱脈; 山脈|`jou``myaku`; `myaku``raku`; `kou``myaku`; `san``myaku`|vein; chain of reasoning, logical connection; vein (e.g. for ore); mountain range|myaku:静脈,脈絡,鉱脈,山脈
雷|雷; 落雷; 雷雨|kaminari; `raku``rai`; `rai``u`|thunder; lightning strike; thunderstorm|kaminari:雷;rai:落雷,雷雨
階|階級; 上流階級; 階段; 段階|`kai``kyuu`; `jou``ryuu``kai``kyuu`; `kai``dan`; `dan``kai`|social class; upper class; stairs; step, phase, stage|kai:階級,上流階級,階段,段階
級|階級; 学級; 上流階級|`kai``kyuu`; `gak``kyuu`; `jou``ryuu``kai``kyuu`|social class; (school) class (e.g. we have the same English class); upper class|kyuu:階級,学級,上流階級
間|間違える; 間; 空間; 茶の間; 民間; 期間; 貸間; 瞬間; 間柄; 区間; 世間; 間近|`ma``chiga`eru; aida; `kuu``kan`; `cha`no`ma`; `min``kan`; `ki``kan`; `kashi``ma`; `shun``kan`; `aida``gara`; `ku``kan`; `se``ken`; `ma``dika`|to get wrong; between; space; living room; private (as opposed to government); period, interval, term; room for rent; a moment; relationship, terms (e.g. being on friendly terms or on bad terms with); section, interval (of a track); society, the public, the world; near, close, just around the corner|ma:間違える,茶の間,貸間,間近;aida:間,間柄;kan:空間,民間,期間,瞬間,区間;ken:世間
違|間違える; 違憲; 違反; 勘違い|`ma``chiga`eru; `i``ken`; `i``han`; `kan``chiga`i|to get wrong; unconstitutionality; violation, breach; misunderstanding|chiga:間違える,勘違い;i:違憲,違反
閉|閉じる; 閉店; 閉会式|`to`jiru; `hei``ten`; `hei``kai``shiki`|close; close shop; closing ceremony|to:閉じる;hei:閉店,閉会式
長|長い; 生長; 課長; 長期; 長期的; 長考; 長方形; 延長; 長寿; 副社長; 長編; 身長; 局長; 村長; 長男|`naga`i; `sei``chou`; `ka``chou`; `chou``ki`; `chou``ki``teki`; `chou``kou`; `chou``hou``kei`; `en``chou`; `chou``ju`; `fuku``sha``chou`; `chou``hen`; `shin``chou`; `kyoku``chou`; `son``chou`; `chou``nan`|long; growth (of a plant); section chief/manager; long-term; long-term; thinking for a long time, lengthy consideration, pondering; rectangle; extension, prolongation; longevity; vice president; long (e.g. novel, film); height; bureau director; village chief; eldest son|naga:長い;chou:生長,課長,長期,長期的,長考,長方形,延長,長寿,副社長,長編,身長,局長,村長,長男
鎮|鎮まる; 重鎮; 鎮静|`shizu`maru; `juu``chin`; `chin``sei`|to subside; authority [in a particular field]; tranquility|shizu:鎮まる;chin:重鎮,鎮静
重|重鎮; 重点; 重傷; 重ねる; 重い; 重複; 貴重; 八重桜; 重要; 慎重; 重量; 重視; 比重; 重んじる; 紙一重; 自重; 珍重; 尊重|`juu``chin`; `juu``ten`; `juu``shou`; `kasa`neru; `omo`i; `chou``fuku` or `juu``fuku`; `ki``chou`; `ya``e``zakura`; `juu``you`; `shin``chou`; `juu``ryou`; `juu``shi`; `hi``juu`; `omo`njiru; `kami``hito``e`; `ji``chou`; `chin``chou`; `son``chou`|authority [in a particular field]; important point, priority; serious wound; to pile up, repeat; heavy; to be repeating, redundant; precious, valuable; double-flowered cherry tree; important; careful, discreet; weight, heavyweight; importance, stress, serious consideration; specific gravity, relative importance; to give weight/importance to; paper-thin (difference); self-restraint, self-respect; prizing, valuing highly, esteeming; suru: respect, revere, honor|juu:重鎮,重点,重傷,重複,重要,重量,重視,比重;kasa:重ねる;omo:重い,重んじる;chou:重複,貴重,慎重,自重,珍重,尊重;e:八重桜,紙一重
鈍|鈍る; 愚鈍|`nibu`ru; `gu``don`|to become dull; stupid, foolish|nibu:鈍る;don:愚鈍
点|重点; 点々と; 採点; 弱点; 交差点; 点灯; 視点; 満点; 点検; 及第点|`juu``ten`; `ten`ten to; `sai``ten`; `jaku``ten`; `kou``sa``ten`; `ten``tou`; `shi``ten`; `man``ten`; `ten``ken`; `kyuu``dai``ten`|important point, priority; scattered, here and there (like leaves on a pond); to grade; weak point; crossing, intersection; turning on a light; point of view, opinion; full points; thorough examination, checking point by point; passing marks|ten:重点,点々と,採点,弱点,交差点,点灯,視点,満点,点検,及第点
遭|遭遇; 遭う; 遭難|`sou``guu`; `a`u; `sou``nan`|encounter, come across; meet (neg. connotation); disaster, shipwreck, stranded|sou:遭遇,遭難;a:遭う
遇|遭遇; 境遇|`sou``guu`; `kyou``guu`|encounter, come across; environment, circumstances|guu:遭遇,境遇
難|遭難; 苦難; 難渋; 財政難; 難解; 避難; 難消化性; 批難; 難局; 得難い; 難い; 前途多難|`sou``nan`; `ku``nan`; `nan``juu`; `zai``sei``nan`; `nan``kai`; `hi``nan`; `nan``shou``ka``sei`; `hi``nan`; `nan``kyoku`; egatai; `kata`i; `zen``to``ta``nan`|disaster, shipwreck, stranded; suffering, hardship; suffering, struggling; economic difficulties; difficult to understand; taking refuge; indigestion; criticism, blame, reproach; difficult situation; hard to come by, hard to get; hard to X (X - gatai); having many difficulties on the path ahead|nan:遭難,苦難,難渋,財政難,難解,避難,難消化性,批難,難局,前途多難;egatai:得難い;kata:難い
達|達成; 発達; 達する; 友達; 配達; 上達; 達磨; 到達|`tas``sei`; `hat``tatsu`; `tas`suru; `tomo``dachi`; `hai``tatsu`; `jou``tatsu`; `daru``ma`; `tou``tatsu`|to achieve; development, growth; to reach, to arrive at; friend; delivery; suru: improve, become proficient in; Daruma figure; reaching, attaining|taxtsu:達成,達する;tatsu:発達,配達,上達,到達;dachi:友達;daru:達磨
成|達成; 成る; 完成; 成果; 未完成; 合成; 合成洗剤; 編成; 再編成; 成り立ち; 成績; 成立; 成人; 賛成; 醸成|`tas``sei`; `na`ru; `kan``sei`; `sei``ka`; `mi``kan``sei`; `gou``sei`; `gou``sei` `sen``zai`; `hen``sei`; `sai``hen``sei`; `na`ri`ta`chi; `sei``seki`; `sei``ritsu`; `sei``jin`; `san``sei`; `jou``sei`|to achieve; become; complete; fruits (of one's labor), results, outcome; incomplete; synthetic, composite; synthetic detergent; compisition, formation, organization; reorganize, restructure, reshuffle; the way something came into existence / came about, origin; grades, results; to be established / founded; adult, suru: to become an adult; approval, agreement; to bring about, to brew/arouse/breed (atmosphere, feelings, etc.)|sei:達成,完成,成果,未完成,合成,合成洗剤,編成,再編成,成績,成立,成人,賛成,醸成;na:成る,成り立ち
発|発達; 発育; 爆発; 奮発; 発車; 活発; 発覚; 告発; 発揮; 発展; 発展場; 発祥; 発掘; 挑発; 発酵; 発足; 摘発; 発給; 発注; 蒸発; 発射; 発奮|`hat``tatsu`; `hatsu``iku`; `baku``hatsu`; `fun``patsu`; `has``sha`; `kap``patsu`; `hak``kaku`; `koku``hatsu`; `hak``ki`; `hat``ten`; `hat``ten``ba`; `has``shou`; `hak``kutsu`; `chou``hatsu`; `hak``kou`; `has``soku`; `teki``hatsu`; `hak``kyuu`; `hac``chuu`; `jou``hatsu`; `has``sha`; `hap``pun`|development, growth; (physical) growth (e.g. of a baby); explode; to exert oneself, to splurge; to depart (e.g. a vehicle); active, vigor, lively; detection, coming to light; indictment, complaint; suru: exhibit, display, demonstrate; development, advancement, growth; slang: gay joint/bar; origin, appearance (of an auspicious omen); excavation; provocation; fermentation; starting, inaguration, founding; exposing, unmasking; issuance (e.g. of a passport); placing an order; to evaporate; launching (e.g. a missle); being roused, inspired, spurred on|haxtsu:発達,発車,発覚,発揮,発展,発展場,発祥,発掘,発酵,発足,発給,発注,発射,発奮;hatsu:発育,爆発,奮発,活発,告発,挑発,摘発,蒸発
友|友達; 友人; 友情|`tomo``dachi`; `yuu``jin`; `yuu``jou`|friend; dear friend; friendship|tomo:友達;yuu:友人,友情
完|完成; 完全; 未完成; 補完; 完璧; 完膚|`kan``sei`; `kan``zen`; `mi``kan``sei`; `ho``kan`; `kan``peki`; `kan``pu`|complete; completeness; incomplete; supplementation; perfect; unwounded skin (naki made = defeating the enemy thoroughly)|kan:完成,完全,未完成,補完,完璧,完膚
